date;gforce;speed;AccX;AccY;AccZ;GyroX;GyroY;GyroZ
12/02/2020 13:25:37;1;0;0.55;-0.44;1.54;-64.49;-1.63;-0.79
12/02/2020 13:25:38;1;0;0.55;-0.45;1.54;-64.73;-1.72;-0.79
12/02/2020 13:25:40;1;0;0.54;-0.45;1.55;-64.98;-1.60;-0.92
12/02/2020 13:25:41;1;0;0.54;-0.41;1.59;-65.34;-2.08;-0.48
12/02/2020 13:25:43;1;0;0.56;-0.43;1.54;-65.71;-1.36;-0.89
12/02/2020 13:25:44;1;0;0.55;-0.42;1.54;-65.71;-1.61;-0.56
12/02/2020 13:25:45;1;0;0.53;-0.42;1.57;-65.71;-2.05;-1.10
12/02/2020 13:25:47;1;0;0.55;-0.45;1.55;-65.95;-1.73;-0.85
12/02/2020 13:25:48;1;0;0.55;-0.44;1.55;-65.71;-1.79;-0.90
12/02/2020 13:25:50;1;0;0.55;-0.46;1.54;-65.83;-2.00;-1.80
12/02/2020 13:25:51;1;0;0.56;-0.42;1.56;-65.71;-1.97;-0.82
12/02/2020 13:25:53;1;0;0.55;-0.44;1.52;-65.83;-1.97;-1.18
12/02/2020 13:25:54;1;0;0.57;-0.45;1.51;-65.95;-1.82;-0.62
12/02/2020 13:25:55;1;0;0.55;-0.44;1.54;-66.08;-1.92;-0.85
12/02/2020 13:25:57;1;0;0.58;-0.44;1.55;-65.83;0.69;1.19
12/02/2020 13:25:58;1;0;0.58;-0.29;1.44;-65.95;-2.15;-3.27
12/02/2020 13:26:00;1;3;0.50;-0.45;1.62;-66.20;-0.73;-6.05
12/02/2020 13:26:01;1;3;0.47;-0.40;1.63;-65.95;-0.69;-7.02
12/02/2020 13:26:03;1;3;0.54;-0.47;1.39;-65.83;0.21;-1.80
12/02/2020 13:26:04;1;1;0.62;-0.39;1.51;-65.83;-1.41;0.16
12/02/2020 13:26:05;1;0;0.68;-0.53;1.44;-66.08;4.90;2.06
12/02/2020 13:26:07;1;6;0.76;-0.47;1.42;-65.95;0.34;-4.05
12/02/2020 13:26:08;2;10;0.57;-0.46;1.90;-65.83;-0.54;0.05
12/02/2020 13:26:10;1;11;0.86;-0.28;1.49;-65.71;0.79;-3.87
12/02/2020 13:26:11;1;8;1.34;-0.78;1.25;-65.83;5.06;-9.50
12/02/2020 13:26:13;2;19;1.03;-0.14;1.80;-65.95;4.21;0.34
12/02/2020 13:26:14;1;21;0.48;0.03;1.71;-65.83;0.33;-2.23
12/02/2020 13:26:15;1;16;0.72;-0.25;1.68;-65.95;-0.64;-1.66
12/02/2020 13:26:17;1;6;0.81;-0.50;1.51;-65.71;2.73;-2.40
12/02/2020 13:26:18;1;5;0.78;-0.61;1.36;-65.59;4.53;-0.93
12/02/2020 13:26:20;1;16;0.56;-0.85;1.48;-65.59;-3.12;-3.92
12/02/2020 13:26:21;1;19;0.28;-0.41;1.60;-65.83;3.14;0.91
12/02/2020 13:26:23;1;15;0.03;-0.49;1.79;-65.47;-7.71;-0.05
12/02/2020 13:26:24;2;14;0.31;-0.74;1.86;-65.34;-3.82;8.55
12/02/2020 13:26:25;1;7;0.49;-0.80;1.49;-65.10;-4.11;-1.69
12/02/2020 13:26:27;1;29;0.63;-0.51;1.75;-65.22;-4.15;-4.37
12/02/2020 13:26:28;1;34;0.64;-0.37;1.53;-65.34;-3.93;-2.15
12/02/2020 13:26:30;1;31;0.45;-0.36;1.48;-64.98;-0.54;0.95
12/02/2020 13:26:31;1;28;0.17;-0.29;1.69;-65.34;-7.19;-3.76
12/02/2020 13:26:33;1;19;0.06;-0.50;1.62;-64.85;-8.19;8.44
12/02/2020 13:26:34;1;21;-0.04;-0.86;1.39;-64.85;-9.46;3.32
12/02/2020 13:26:35;1;24;0.39;-0.44;1.73;-64.98;-5.23;-3.73
12/02/2020 13:26:37;1;27;0.77;-0.05;1.60;-64.61;-8.22;-4.72
12/02/2020 13:26:38;1;24;1.11;-0.12;1.46;-64.85;-8.05;-12.28
