date;gforce;speed;AccX;AccY;AccZ;GyroX;GyroY;GyroZ
12/02/2020 11:24:46;1;0;0.47;-0.45;1.56;-67.91;-1.81;-0.97
12/02/2020 11:24:48;1;0;0.47;-0.46;1.57;-68.52;-1.73;-0.50
12/02/2020 11:24:49;1;0;0.49;-0.43;1.55;-68.40;-1.77;-0.46
12/02/2020 11:24:51;1;0;0.47;-0.45;1.52;-68.76;-1.41;-0.64
12/02/2020 11:24:52;1;0;0.47;-0.45;1.59;-68.64;-2.50;-1.70
12/02/2020 11:24:54;1;0;0.46;-0.45;1.55;-68.76;-1.74;-0.91
12/02/2020 11:24:55;1;0;0.48;-0.44;1.59;-68.76;-1.89;-1.28
12/02/2020 11:24:56;1;0;0.46;-0.46;1.54;-69.25;-1.24;-0.09
12/02/2020 11:24:58;1;0;0.46;-0.45;1.55;-69.37;-1.48;-0.37
12/02/2020 11:24:59;1;1;0.45;-0.47;1.51;-69.25;-1.87;-0.73
12/02/2020 11:25:01;1;0;0.48;-0.44;1.55;-69.50;-1.83;-0.47
12/02/2020 11:25:02;1;0;0.46;-0.44;1.57;-69.25;-1.51;-0.66
12/02/2020 11:25:03;1;0;0.46;-0.45;1.57;-69.50;-1.46;-0.59
12/02/2020 11:25:05;1;0;0.46;-0.44;1.57;-69.50;-1.53;-0.65
12/02/2020 11:25:06;1;0;0.45;-0.45;1.55;-69.74;-1.62;-0.46
12/02/2020 11:25:08;1;0;0.47;-0.46;1.55;-69.50;-1.92;-0.76
12/02/2020 11:25:09;1;0;0.46;-0.45;1.52;-69.74;-1.62;-0.28
12/02/2020 11:25:11;1;0;0.46;-0.45;1.60;-69.74;-1.91;-1.15
12/02/2020 11:25:12;1;0;0.45;-0.44;1.56;-69.86;-1.85;-1.08
12/02/2020 11:25:13;1;0;0.45;-0.45;1.57;-69.62;-1.78;-0.96
12/02/2020 11:25:15;1;0;0.47;-0.44;1.56;-69.98;-1.91;-0.73
12/02/2020 11:25:16;1;0;0.47;-0.43;1.56;-69.98;-1.56;-0.34
12/02/2020 11:25:18;1;0;0.47;-0.45;1.55;-69.98;-1.47;-0.72
12/02/2020 11:25:19;1;0;0.47;-0.44;1.56;-69.86;-2.00;-1.02
12/02/2020 11:25:21;1;0;0.47;-0.45;1.57;-69.86;-2.07;-1.30
12/02/2020 11:25:22;1;0;0.47;-0.46;1.55;-70.23;-1.74;-0.50
12/02/2020 11:25:23;1;0;0.47;-0.44;1.56;-69.98;-1.89;-0.81
12/02/2020 11:25:25;1;0;0.45;-0.44;1.55;-69.98;-1.76;-0.59
12/02/2020 11:25:26;1;0;0.48;-0.44;1.58;-69.98;-2.00;-1.11
12/02/2020 11:25:28;1;0;0.45;-0.45;1.54;-70.11;-1.63;-0.69
12/02/2020 11:25:29;1;0;0.45;-0.46;1.57;-70.23;-1.63;-0.97
12/02/2020 11:25:32;1;0;0.47;-0.44;1.55;-70.11;-2.00;-0.79
12/02/2020 11:25:33;1;0;0.47;-0.45;1.56;-70.23;-1.89;-0.86
12/02/2020 11:25:35;1;0;0.46;-0.44;1.59;-69.86;-1.76;-1.02
12/02/2020 11:25:36;1;0;0.46;-0.43;1.58;-70.11;-2.07;-1.47
12/02/2020 11:25:38;1;0;0.46;-0.45;1.59;-69.98;-1.89;-0.94
12/02/2020 11:25:39;1;0;0.47;-0.44;1.58;-69.98;-1.79;-1.11
12/02/2020 11:25:40;1;0;0.47;-0.44;1.56;-69.98;-1.62;-0.66
12/02/2020 11:25:42;1;0;0.47;-0.44;1.59;-70.23;-1.98;-1.28
12/02/2020 11:25:43;1;0;0.45;-0.44;1.57;-70.23;-1.60;-0.69
12/02/2020 11:25:45;1;0;0.46;-0.44;1.55;-70.11;-1.72;-0.98
12/02/2020 11:25:46;1;0;0.46;-0.45;1.54;-69.74;-1.68;-0.73
12/02/2020 11:25:48;1;0;0.47;-0.45;1.53;-69.74;-1.82;-0.84
12/02/2020 11:25:49;1;0;0.46;-0.45;1.54;-69.62;-1.51;-0.31
12/02/2020 11:25:50;1;0;0.48;-0.45;1.59;-69.62;-2.02;-0.93
12/02/2020 11:25:52;1;0;0.46;-0.44;1.60;-69.62;-2.01;-1.33
12/02/2020 11:25:53;1;0;0.47;-0.45;1.60;-69.98;-2.08;-1.38
12/02/2020 11:25:55;1;0;0.47;-0.45;1.57;-69.74;-1.78;-1.10
12/02/2020 11:25:56;1;0;0.45;-0.44;1.56;-69.50;-1.52;-0.66
12/02/2020 11:25:57;1;0;0.45;-0.44;1.56;-69.98;-1.89;-1.05
12/02/2020 11:25:59;1;0;0.47;-0.43;1.57;-69.50;-1.76;-0.77
12/02/2020 11:26:00;1;0;0.46;-0.45;1.54;-69.50;-1.73;-0.60
12/02/2020 11:26:02;1;0;0.47;-0.45;1.61;-69.50;-1.82;-1.25
12/02/2020 11:26:03;1;0;0.45;-0.44;1.55;-69.50;-1.64;-0.77
12/02/2020 11:26:05;1;0;0.48;-0.44;1.59;-69.50;-1.83;-1.04
