date;gforce;speed;AccX;AccY;AccZ;GyroX;GyroY;GyroZ
12/01/2020 23:52:38;1;16;0.33;-0.02;1.63;-31.88;-1.66;-1.02
12/01/2020 23:52:39;1;9;0.33;-0.02;1.63;-31.88;-1.53;-1.08
12/01/2020 23:52:41;1;9;0.33;-0.02;1.64;-31.63;-1.70;-1.08
12/01/2020 23:52:42;1;6;0.33;-0.01;1.64;-31.63;-1.50;-1.05
12/01/2020 23:52:44;1;4;0.32;-0.01;1.64;-31.39;-1.54;-0.88
12/01/2020 23:52:45;1;6;0.32;-0.02;1.64;-31.76;-1.55;-1.08
12/01/2020 23:52:47;1;3;0.34;-0.02;1.64;-31.63;-1.50;-1.08
12/01/2020 23:52:48;1;3;0.33;-0.02;1.64;-31.39;-1.28;-0.95
12/01/2020 23:52:49;1;6;0.32;-0.02;1.63;-31.51;-1.63;-0.95
12/01/2020 23:52:51;1;3;0.33;-0.01;1.64;-31.27;-1.40;-1.02
12/01/2020 23:52:52;1;3;0.32;-0.02;1.63;-31.63;-1.34;-1.00
12/01/2020 23:52:54;1;8;0.33;-0.01;1.62;-31.27;-1.58;-1.08
12/01/2020 23:52:55;1;5;0.33;-0.01;1.65;-31.27;-1.67;-0.93
12/01/2020 23:52:56;1;3;0.34;-0.02;1.63;-31.15;-1.50;-1.14
12/01/2020 23:53:06;1;0;0.33;-0.01;1.64;-31.27;-1.63;-1.12
12/01/2020 23:53:07;1;6;0.32;-0.01;1.64;-31.15;-1.45;-0.95
12/01/2020 23:53:09;1;3;0.33;-0.02;1.63;-31.02;-1.47;-1.13
12/01/2020 23:53:10;1;1;0.33;-0.01;1.65;-31.02;-1.54;-1.14
12/01/2020 23:53:11;1;2;0.33;-0.02;1.63;-31.15;-1.63;-1.09
12/01/2020 23:53:13;1;2;0.33;-0.02;1.64;-31.02;-1.53;-1.04
12/01/2020 23:53:14;1;3;0.32;-0.01;1.63;-30.78;-1.63;-1.15
12/01/2020 23:53:16;1;3;0.32;-0.03;1.64;-30.78;-1.40;-1.08
12/01/2020 23:53:17;1;4;0.33;-0.02;1.64;-31.15;-1.45;-1.08
12/01/2020 23:53:18;1;8;0.33;-0.01;1.63;-30.78;-1.77;-1.02
12/01/2020 23:53:20;1;5;0.32;-0.02;1.63;-30.66;-1.40;-1.05
12/01/2020 23:53:21;1;8;0.30;-0.01;1.64;-30.78;-1.40;-1.08

