date;gforce;speed;AccX;AccY;AccZ;GyroX;GyroY;GyroZ
12/02/2020 11:16:19;1;27;0.56;-0.11;1.30;-81.22;-1.02;6.85
12/02/2020 11:16:20;1;29;0.57;-0.27;1.38;-81.10;-3.42;-5.14
12/02/2020 11:16:22;1;23;0.89;-0.21;1.66;-81.10;11.92;-3.92
12/02/2020 11:16:23;1;26;0.88;-0.09;1.54;-81.10;-0.61;-3.95
12/02/2020 11:16:24;1;27;0.45;-0.09;1.38;-80.98;-4.78;-0.69
12/02/2020 11:16:26;1;23;0.26;-0.28;1.73;-80.98;-2.67;13.12
12/02/2020 11:16:27;1;22;0.10;-0.37;1.49;-81.10;-6.11;-0.63
12/02/2020 11:16:29;1;25;0.52;-0.13;1.69;-80.85;1.92;1.45
12/02/2020 11:16:30;1;27;0.75;-0.16;1.15;-80.98;1.66;-0.68
12/02/2020 11:16:32;1;28;0.98;-0.11;1.68;-80.73;-8.37;-3.89
12/02/2020 11:16:33;1;27;1.09;-0.30;0.58;-80.73;10.48;-2.64
12/02/2020 11:16:34;1;25;0.94;-0.17;1.29;-80.98;6.50;-1.27
12/02/2020 11:16:36;2;31;0.74;-0.31;1.97;-80.85;-0.89;-1.85
12/02/2020 11:16:37;1;32;0.67;-0.21;1.70;-80.73;-1.56;3.63
12/02/2020 11:16:39;1;34;0.48;-0.26;1.14;-80.73;0.10;9.50
12/02/2020 11:16:40;2;34;0.88;-0.60;1.75;-80.73;3.21;11.06
12/02/2020 11:16:42;1;35;0.81;-0.42;1.70;-80.37;3.46;1.63
12/02/2020 11:16:43;1;36;0.70;-0.19;1.63;-80.85;-1.74;-0.58
12/02/2020 11:16:44;1;38;0.67;-0.61;1.30;-80.49;-4.11;5.80
12/02/2020 11:16:46;1;35;0.70;-0.43;1.81;-80.73;-19.03;-16.21
12/02/2020 11:16:47;1;34;0.65;-0.26;1.35;-80.61;-5.27;-3.69
12/02/2020 11:16:49;2;34;0.75;-0.44;2.12;-80.37;-1.72;-0.65
12/02/2020 11:16:50;1;35;0.56;-0.54;1.39;-80.37;-4.66;-3.10
12/02/2020 11:16:52;1;33;0.66;-0.14;1.54;-80.49;-2.34;-4.73
12/02/2020 11:16:53;1;30;0.48;-0.23;1.52;-80.24;-13.05;-10.02
12/02/2020 11:16:54;2;28;0.39;-0.78;2.21;-80.37;-17.48;-22.80
12/02/2020 11:16:56;1;26;0.23;0.17;1.75;-80.12;-4.47;-1.51
12/02/2020 11:16:57;1;21;0.31;0.03;1.52;-80.12;-5.36;0.56
